	name	review	date	score
0	수하동	맑은 국물에 누린내 없는 한우 고기가 듬뿍 들어있어요. 깍두기와 함께 한그릇 먹으면 배가 든든해요.	8월 3일	4.0
1	수하동	음식이 빨리 나옵니다. 곰탕 고기에 잡내가 나지 않고 국물도 깔끔합니다. 곁들여나오는 김치와 깍두기도 익힘 정도가 적당합니다.	2019년 11월 5일	4.0
2	더스테이크하우스	"상하이 지점을 가보고 여의도점을 방문했다는 것을 참고바랍니다. 중국 상하이 IFC몰에 있는 곳을 기준으로는 음식이나 와인 종류는 다양하지 않습니다. 상하이는 식사하면서 주요 랜드마크 타워가 보이는 곳이라 뷰가 좋으나, 여의도점는 지하이고 크기도 상대적으로 작습니다. 전체평가 별을 덜 준 이유입니다.
다른나라 지점과 상대 비교를 제외하고는 다른 스테이크집보다 고급스럽고 서비스도 상당히 좋습니다. 가격은 일반 아웃백, VIPS 수준보다 비쌉니다. 맛은 당연히 그 수준 만큼 따라옵니다."	2018년 6월 11일	3.0
3	더스테이크하우스	"맛있다 드라이 에이징이면 더 부드럽고 해야되는데 왜 내입맛에는 한우가 더부드럽지. . 음..
사실 뻑뻑하다 턱이 아팠다.."	2017년 4월 22일	4.0
4	그리츠	"이른 송년모임
후배들이 고른 그리츠
주중석식 55,000원이다

음식이 다양하지는 않다
먹을것에 집중해서
깔끔하게 차렸다

여의도라는 지리적 위치감안해서
딱 금액에 맞춘 뷔페라고 생각...

부채살 스테이크
양갈비는 먹을만했다"	2019년 11월 16일	3.0
5	창고43	역시 창고의 한우는 명품이네요! 고기 다 먹고 깍두기 비빔밥 꼭 드세요. 정말 꿀맛입니다🍖	8월 23일	5.0
6	창고43	고기의 질은 정말 우수하고 맛있음! 고기를 구워주시고 부위별 맛의 특성을 잘 알려주심! 깍두기 볶음밥은 무 사이즈가 크고, 짜고 신맛이 너무 났음! 고기의 맛은 인정! 하지만 더 가성비 좋은 곳은 많음!	2019년 12월 5일	4.0
7	창고43	"#여의도맛집 #창고43
냐하항 특별한 날엔 #고기앞으로 ♡ 제일 맛있는 #설화등심 으로 먹기!! 마블링에 눈꽃이 내린 것 같다고 해서 설화등심인데~ 이집은 등심이 제일 부드럽고 육즙도 가득하고 맛있음!! 다 구워서 주시는데 쎈불에 겉면을 익히고 찢듯이 살을 잘라주시면 바로 입으로 직행 가능가능♡ 파무침도 같이 볶아서 함께 싸먹으면 #개존맛 하지만 소금만 살짝찍어도 맛있음 ㅠㅠ 비싼값을 하는구낭 ♡ 또 #된장찌개 는 큼직한 고깃덩어리와 청양고추가 들어가 있어 깊고 진하며 칼칼한 된장찌개도 먹을 수 있음~ 고기를 배부르게 먹고 나면~ #된장말이밥 이냐 #깍두기볶음밥 이냐를 두고 고민해야 하는뎅~ 난 #볶음밥누룽지 를 넘나 사랑해서~ 깍두기를 선택!! 별다른 것 없이 깍두기를 끓이다가 밥말아서 비벼주고 일부라 바닥에 누룽지를 만든다음 아주머니가 팍팍 누룽지를 긁어주시면 그때부터 먹으면 됨~ 많이 눌릴 수록 맛이 더 올라감♡ 맛있어!! 예약안하고 가면... 웨이팅이 있을 수 있으니 예약하는게 좋을 듯... 여의도는 #소고기회식 을 많이 하는 곳이라 항상 회식팀들이 바글바글함♡ #여의도소고기 #여의도창고 #여의도회식 #여의도역맛집 #창고43여의도"	2019년 4월 4일	4.0
8	창고43	"저녁 영업시간 맞춰서 갔다왔습니다.
들어갈땐 빈자리가 제법 있었는데, 30분만에 홀이 꽉차더라구요.
주문한메뉴들도 금새나오고, 직원분이 적당한 속도로 구워주셔서 좋았습니다. 직접구워주셔서 그런지 고기가 더 맛있는거 같네요."	2018년 11월 3일	4.0
9	창고43	상암동만 가다가 여의도점은 처음 가봤어요. 시설이나 분위기는 상암이 조금 더 고급스럽지만 창고의 고기와 서비스는 어디든 다 훌륭하네요.	2019년 5월 4일	5.0
10	창고43	소고기전문점이지만 점심에 종종 미역국을 먹으러 갑니다. 국물이 진하고 양도 푸짐합니다. 식당 분위기가 고급스러운 편이지만 점심시간 사람이 몰릴 때는 접객이 다소 불친절해지는 경향이 있습니다.	2019년 11월 20일	3.0
11	창고43	"150g에 39000원인데 이 가격에 이정도 맛밖에 안나오는게 좀 아쉬움 비싸다고 반찬이 많이 나오는것도 아님.

근데 맛이없는건 아니지만 또 올꺼같지는 않다."	2019년 12월 28일	4.0
12	창고43	분위기는 고급스럽진 않지만 편안합니다. 후배나 직원들 수고했다고 격려하기에 참좋습니다. 여기서 같이 식사한 사람들 모두 고기맛에 대해서 만족했습니다. 가격도 받아들일수 있는 수준. 여의도에 여러군데 있는데 모두 가봤습니다. 맛있는거는 같은데 간이 약간씩 다릅니다.	2019년 1월 7일	4.0
13	창고43	한우안심핵존맛..인생맛집입니다	2016년 12월 20일	5.0
14	창고43		2016년 8월 3일	5.0
