	name	review	date	score
0	서궁	옆 건물로 이사갔어요. 유명한 집 답게 사람 많고, 대부분의 경우 줄 서야함. 넓어져서 자리도 편하고 더 좋아짐.	1월 31일	5.0
1	서궁	탕수육은 소스를 듬뿍 찍어 먹어야 제대로 된 맛을 느낄 수 있었고, 기대하지 않았던 유산슬의 맛은 놀라웠다. 푸짐한 양은 덤	2019년 11월 1일	4.0
2	서궁	"이전하고 엄청 쾌적하고 넓어져서 웨이팅도 완전 줄었다! 오향장육 탕수육 깐풍기 류산슬밥 만두.... 맛없는 메뉴가 없다
부추잡채밥은 처음 시켜봤는데 개인적으로는 류산슬밥>>부추잡채밥"	2019년 4월 6일	5.0
3	서궁	저희 회사 옆 홍우빌딩에 있는 서궁을 다녀왔습니다 ^^ 공간은 생각보다 작지만 뭔가..오래된 장인의 포스가 느껴졌고, 여기서 제일 유명하다는 오향장육과 탕수육을 시켜 먹었는데, 진짜 꿀맛이더라구요!!!👍 제가 고수를 좋아하는터라 오향장육 위에 뿌려주시는 고수 따로 더 추가 주문 했더니 고수 한 접시 또 주시더라구요 ^^ 그리구 탕수육은 소스가 정말 독특했어요...뭔가 이전까지 맛보지 못한 탕수육 소스였는데..전혀 느끼하지 않구, 기름기도 없구, 맑구 투명한데 달콤상콤한 맛이였습니다! 정준하가 식신로드 촬영허락을 위해 여기 사장님께 무릎을 꿇었다던데..무릎 꿇을만하네요 ^^	2016년 10월 6일	5.0
4	서궁	평일날 방문은 만족스럽지만 주말 방문은 가급적 안하시는 편이 좋습니다. 주말에는 미리 해놓은 볶음밥은 딱딱하고 탕수육도 미리 해놓은 건지 냄새납니다.	2017년 7월 8일	2.0
5	쿠치나후	한강이 보이는 뷰라서 분위기가 좋고 서비스도 좋습니다. 굉장히 친절합니다. 음식도 맛있어요. 가격도 합리적인거같아요.	2018년 8월 25일	4.0
6	쿠치나후		2017년 2월 1일	5.0
7	뉴오리진	"한줄 평
'브랜드이미지에 걸맞는 건강한 식탁'


뉴오리진은 유한양행에서 런칭한 건강기능식품 브랜드입니다. 유한양행의 이름을 걸고있기 때문에 원료를 쓰는데에 있어서 말그대로 오리진부터 깐깐하게 따지는 걸로 알고있습니다. 사실 마케팅으로 소비자들이 호감만 갖을 수 있을정도로 '표시'내는 형식을 취하지않고 소비자 인식이 따라오지 못하는 부분까지 신경쓰는게 기업으로써는 상당한 비용과 이로인한 수익성에 마이너스를 갖고 오는 것을 생각하면 대담한 도전이라고 생각됩니다.

원료의 예를들면 감미료는 비정제당인 마스코바도 설탕이나 킬라하리 사막소금만을 쓰는 것이나 계란도 유기농.자율방목.동물복지 원칙을 지킨 상위 0.3프로의 계란만을 쓴다고 합니다. 음료위에 있는 가니쉬도 당일 매장에서 직접 말린다고...그래서인지 식료품을 사러오시거나 비타민을 사러오신 분들도 많네요.

저는 음료는 뉴오리진이 근처에 있으면 마시는 편인데 당일은 식사도 해보았습니다. 주문을 하면 나에게 맞는 건기식도 시식해볼수 있어 식사하기 전 같이 먹으면 건강해지는 기분입니다. 맛 평가를 하자면 여러가지 음료를 먹어보았는데 달지도 쓰지도 않게 (보통 건강음료들은 단맛때문에 사과.배 등을 많이 넣거나 그냥 쓰게 만들어버리는데 그런 맛이 아닙니다) 밸런스가 잘잡혀있습니다. 샐러드도 썬드라이 토마토의 산미와 각종 재료들이 잘 어우러져있고 인위적인 맛이 나지않는 자가 샐러드 드레싱이 샐러드의 풍미를 더해줘 자칫 물릴 수 있는 샐러드를 끝까지 맛있게 잘 먹었습니다.

사실 엄청 친절하거나 하는 건 느끼지못했는데 비타민을 구매하며 10분넘게 트집잡고 호통을치는 분을 보았습니다. 누가봐도 진상 손님이었는데 끝까지 기분나쁘지않게 웃으면서 응대하시더라구요. 트레이 놓는 곳이나 매장도 깔끔하게 관리되어 있었습니다."	2019년 9월 4일	5.0
8	뉴오리진	Ifc몰 내부에 위치해 사람이 많고 좀 시끄럽지만 특이한 메뉴를 맛볼 수 있는 곳입니다	7월 8일	4.0
9	뉴오리진	티라미수 맛있어요 쥬스도 상큼하구 맛있네요 주문하니 영양제도 1알 무료로 먹을수 있었어요	2019년 6월 5일	5.0
10	나폴레옹 IFC	서울 3대 빵집으로 유명한 곳이라 기대하고 갔어요. 유명한 사라다빵도 넉넉히 있더라고요.	6월 8일	5.0
11	영원식당	"티비에서 보고 맛있어 보여서 찾아갔어요. 여의도 약간 허름한 건물에 있는데 다들 어떻게 알고 찾아가는지 신기했어요.
주말 점심시간에 갔는데 손님에 비해서 직원이 너무 적어서 많이 불편했어요.
수제비는 생각보다 좀 짜고 평범했어요. 예전엔 양이 많았다고 하는데 일반적인 여자들에게도 양이 너무 적었어요.
말을 해야 공기밥을 준다고 하는 리뷰를 보고 직원에게 주문했는데 4번 얘기한 끝에 나왔어요.
저는 여러모로 불편한 점이 많았어서 다시 방문하지는 않을 것 같은데 방문할 분들은 2인 기준 수제비 1, 전 1 시켜서 나눠드시는 게 좋을 것 같네요."	1월 8일	3.0
12	영원식당	"수제비와 감자전이 대표적인 메뉴이다.
그중에서도 감자전이 정말 고소하고 맛있다. 강력추천한다.
수제비도 적당히 짭짤하게 간이 되어있고 맛있는 편이다.
김치를 익은 김치와 안 익은 김치 두 종류를 주시는데, 둘 다 맛있지만, 내 취향은 안 익은 김치이다. 안 익은 김치는 내 개인 취향때문인지 몰라도 굉장히 맛있는 편이다.

허름한 상가의 2층 구석에 위치하고 있어 접근성이 뛰어나다고 할 수는 없지만, 숨은 맛집이라고 생각한다.

가격이 여의도라 많이 저렴한 편은 아니지만, 그렇다고 주변 대비 비싼편도 아니다.

혼밥을 먹으러 가기도 좋다. 앞으로 가끔 애용하게 될 것 같다. 감자전을 먹으러 가고 싶을때.

사람이 너무 많지 않다는 것도 장점이다. 다만 좌식이라 사람에 따라 불편할 수 있다.
(내가 그렇다.)"	2019년 9월 8일	5.0
13	영원식당	삼청동 수제비보다 조미료맛이 덜 나고 쫄깃쫄깃 맛있음 🥰	6월 24일	4.0
14	영원식당	"낙지볶음에서 머리카락 나옴
말씀 드렸더니 죄송하단 말 없이 가져감
남자 직원이 주방에서 들으라는 듯이 ""머리카락이 어딨다는거야?""소리지름
옆에 여자 직원이 여기 있잖아 이러니까 조용함
여자 직원 다시 와서 낙지볶음 말고 다른거 먹으라 함
공기밥 챙겨주려고 함
끝까지 죄송하단 말 못듣고 나옴"	2019년 11월 9일	1.0
15	영원식당	"서울상가 2층에 있고 분위기가 좋은건 아니지만 자리가 많아서 붐비지 않습니다.

감자전과 닭도리탕은 튀지 않는 맛입니다. 간은 꽤 되어있는 편인데 고기가 부드러운 편입니다.

볶음밥은 메뉴에는 없지만 해주십니다. 다만 평소에 많이 먹는 볶음밥이 아니라 거의 흰밥에 김치 볶아 나오는 느낌이라..국물을 따로 빼놨다가 같이 먹어야 맛있습니다."	2019년 4월 22일	4.0
16	영원식당	"점심시간 줄이 긴 곳
밀가루 음식 매니아라면 모두 좋아할 듯
하지만 불친절함"	2019년 5월 31일	3.0
17	영원식당	아줌마들 완전 불친절 그리고 방송국 사람들 새치기... 맛있다고 서비스별로인데는 그냥 안가는게	2017년 3월 20일	1.0
18	영원식당	"수제비 진짜 맛있음.
다른 음식들도 다 괜찮음.
점심에 줄 안서면 땡잡은거임."	2016년 9월 28일	5.0
19	카레오	맛은 쏘쏘. 평범한.일본식카레맛이다. 밥 위에 양배추를 뿌려주는게 신기하다. 부족한 식감을 보완해 줘서 좋은 선택인 듯. 돈까스는 상당히 상급. 괜찮은 집이네	7월 26일	4.0
