	name	review	date	score
0	경천애인2237	한우집으로 매우 유명하고 맛있는집 입니다. 맛의 기준이 개인적으로 다르겠지만 제 생각으로는 서울에서 top3 안에 꼽히지 않을까 생각합니다. 특히 경천애인만의 치즈는 고기와 너무 잘어울려 고기맛을 한층 풍부하게 해줍니다. 안심, 등심, 채끝 이렇게 먹었는데 개인적으로 안심이 가장 맛있네요. 부드러운고기를 선호하시면 안심을 식감을 중요하게 생각하시면 등심이 좋을듯 합니다. 그리고 시그니처식사인 미나리누룽지밥은 역시 너무 맛있습니다. 양이 많으니 두분이서 식사시 작은걸 주문하세요. 모든 반찬 다 맛있고 특히 마늘 장아찌는 따로 팔정도로 매우 맛있습니다. 가격대가 비싼편이니 특별한날에 한번 가보시는거 추천드립니다! 그리고 술은 판매하지 않기 때문에 따로 준비를 하셔야 합니다. 당연히 콜키지는 무료입니다! 이곳 경천애인 여의도점은 처음 왔는데 선릉점이랑 음식맛이며 서비스 똑같습니다. 좋은점은 무료주차 가능하고 (선릉점은 주차공간이 없어 무조건 발렛해야하고 발렛비는 5천원받습니다) 테이블이 더 많기때문에 예약하기 수월합니다.	2019년 8월 16일	5.0
1	경천애인2237	"안심이 부드럽고 맛있었어요
매장 내 분위기도 깨끗하고 이뻐요
콜키지 무료 서비스도 하구요
직원분들도 친절하세요"	2019년 8월 18일	4.0
2	경천애인2237	회사 지하에 있는 음식점인데 두번 내려가야 해서 접근성은 좀 안좋은 편입니다. 전체적으로 가격대는 좀 있지만 보기와 달리 그릇이 깊어 양이 푸짐하고 맛있어요 갈비탕은 보양식같은 느낌이 나는데 맛있습니다 :)	7월 13일	5.0
3	에덴식당	"간만에 여의도의 건강식을 찾아 에덴식당을 찾아갔다.
이곳은 산나물비빔밥으로 유명한 여의도의 맛집 중 하나이다.

영수증에는 운봉에덴식당이라고 찍히는데 알고보니 지리산 운봉리에서 산나물을 가져와서 그런것 같았다.

이전에 처음 방문했을때는 이게 온통 나물밖에 주지않고, 청국장만 나왔기에 참으로 이해가 가지않았던 식당 중 하나였지만 점차 나이가 들어감에 따라 5가지 산나물과 밥을 넣고, 고추장과 참기름으로 함께 섞어 먹는 그 비빔밥이 얼마나 맛있는지, 그리고 먹고 난 뒤에 몸에서 오는 반응이 달랐기 때문에 자꾸 찾게 되었다.

이상하게 몸이 건강해지는 느낌이랄까.

어릴적에는 고기 반찬이 없으면 먹지 못하던 내가 이제 고기반찬없이도 5가지 산나물에 밥을 쓱쓱 비벼서 먹는 그런 시절이 왔다. 거기다 단짠에 매료된 내가 슴슴한 청국장 국물을 맛있게 먹고 있다는게 참으로 신기하다.

식당 분위기는 조용하진 않지만 여의도 증권가 직원들이 많이 방문을 하고, 대접하기에 적절한 그런 식당이다. 분위기가 묘하게 고급스럽기 때문에 약간 한정식 느낌도 나기 때문일 것 같다.

반찬도 정갈하고 간이 세지않으며 슴슴한 느낌.

몸이 건강해지는 느낌을 받고 싶다면, 지금 당장에 여의도 에덴식당에 방문하는 것을 추천한다.
여의도 샛강역 근처에 롯데캐슬 지하에 위치해있다."	5월 13일	4.0
4	에덴식당	"기대하지않고 들어갔는데 산나물의 질이 매우 뛰어나고 전체적으로 나물맛이 좋고 형기로왔음. 같이 먹은 안심구이는 좀 간이 너무 세서 별로였지만 비벼먹는 들기름도 너무 좋은 들기름이어서 대만족+재방문의사 200%
(판교 아비뉴프랑에서 먹었음)"	2017년 10월 26일	5.0
5	에덴식당	"아파트 상가에 있는 숨은 맛집.
깔끔한 맛. 짜지않고 원재료에 충실한 맛에 늘 감동"	2019년 1월 13일	5.0
6	에덴식당	정갈하고 깨끗했으나 특별한 맛은 아니었음. 국물 종류는 심심해서 좋았으나 깻잎과 김치는 조금 달았음. 청국장과 반찬이 양이 적어서 계속 달라하기 미안했음.	2016년 11월 6일	3.0
7	에덴식당	맛있음. 여의도에서 먹었던 것 중엔 추천할만함.	2017년 4월 8일	4.0
8	패트릭스와플	"건강생각하면 줄여야지 하면서도 쫀득하면서 달큰한 맛에 계속 생각난다.

그치만 10분에 1000원인 매우 비싼 주차비, 얼마어치를 사든 주차인증 안된다는 점이 아쉽다."	2019년 11월 22일	5.0
9	패트릭스와플	"여의도에서 유명한 와플집.
빵이 쫄깃하고 둘러싸인 꿀?이 정말 맛있다"	6월 19일	4.0
